IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.235.187,443,443,true,FRA,Europe,Frankfurt,254,5.40
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,311,5.40
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,253,5.40
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,251,5.39
34.118.105.92,443,443,true,FRA,Europe,Frankfurt,266,5.39
34.65.43.234,443,443,true,FRA,Europe,Frankfurt,259,5.39
34.65.203.182,443,443,true,FRA,Europe,Frankfurt,251,5.38
34.141.181.120,443,443,true,FRA,Europe,Frankfurt,256,5.38
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,252,5.38
34.89.241.152,443,443,true,FRA,Europe,Frankfurt,250,5.37
34.154.67.14,443,443,true,FRA,Europe,Frankfurt,252,5.37
34.65.238.241,443,443,true,FRA,Europe,Frankfurt,257,5.37
34.32.174.17,443,443,true,FRA,Europe,Frankfurt,260,5.36
34.65.73.32,443,443,true,FRA,Europe,Frankfurt,252,5.36
34.141.37.198,443,443,true,FRA,Europe,Frankfurt,258,5.36
34.65.229.235,443,443,true,FRA,Europe,Frankfurt,251,5.36
34.34.51.194,443,443,true,FRA,Europe,Frankfurt,258,5.35
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,251,5.35
34.116.238.49,443,443,true,FRA,Europe,Frankfurt,274,5.35
34.34.43.14,443,443,true,FRA,Europe,Frankfurt,257,5.35
34.116.244.240,443,443,true,FRA,Europe,Frankfurt,266,5.34
34.65.40.201,443,443,true,FRA,Europe,Frankfurt,253,5.34
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,253,5.34
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,301,5.34
34.118.115.104,443,443,true,FRA,Europe,Frankfurt,270,5.34
34.65.50.224,443,443,true,FRA,Europe,Frankfurt,260,5.33
34.154.94.30,443,443,true,FRA,Europe,Frankfurt,264,5.33
35.242.224.224,443,443,true,FRA,Europe,Frankfurt,268,5.32
34.65.68.182,443,443,true,FRA,Europe,Frankfurt,261,5.32
34.65.23.97,443,443,true,FRA,Europe,Frankfurt,252,5.32
34.141.46.202,443,443,true,FRA,Europe,Frankfurt,279,5.31
35.204.221.42,443,443,true,FRA,Europe,Frankfurt,256,5.30
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,251,5.28
34.159.240.161,443,443,true,FRA,Europe,Frankfurt,282,5.28
34.154.115.108,443,443,true,FRA,Europe,Frankfurt,250,5.28
34.89.181.9,443,443,true,FRA,Europe,Frankfurt,252,5.28
35.234.103.37,443,443,true,FRA,Europe,Frankfurt,249,5.28
34.118.117.36,443,443,true,FRA,Europe,Frankfurt,269,5.27
34.65.64.244,443,443,true,FRA,Europe,Frankfurt,256,5.27
34.65.237.96,443,443,true,FRA,Europe,Frankfurt,251,5.26
34.91.29.106,443,443,true,FRA,Europe,Frankfurt,259,5.26
34.141.29.148,443,443,true,FRA,Europe,Frankfurt,252,5.25
34.65.43.234,443,443,true,FRA,Europe,Frankfurt,258,5.25
34.65.154.40,443,443,true,FRA,Europe,Frankfurt,256,5.25
34.65.174.22,443,443,true,FRA,Europe,Frankfurt,252,5.25
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,286,5.25
34.65.87.96,443,443,true,FRA,Europe,Frankfurt,252,5.25
34.154.237.146,443,443,true,FRA,Europe,Frankfurt,252,5.25
34.118.92.6,443,443,true,FRA,Europe,Frankfurt,269,5.25
34.65.78.162,443,443,true,FRA,Europe,Frankfurt,254,5.24
34.65.30.192,443,443,true,FRA,Europe,Frankfurt,250,5.24
34.116.238.191,443,443,true,FRA,Europe,Frankfurt,268,5.23
34.154.206.166,443,443,true,FRA,Europe,Frankfurt,251,5.23
34.65.161.128,443,443,true,FRA,Europe,Frankfurt,258,5.23
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,250,5.23
34.65.174.22,443,443,true,FRA,Europe,Frankfurt,253,5.22
34.65.223.180,443,443,true,FRA,Europe,Frankfurt,260,5.22
34.90.0.5,443,443,true,FRA,Europe,Frankfurt,264,5.22
34.65.252.234,443,443,true,FRA,Europe,Frankfurt,253,5.21
34.65.205.125,443,443,true,FRA,Europe,Frankfurt,254,5.21
34.141.127.32,443,443,true,FRA,Europe,Frankfurt,258,5.21
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,329,5.21
34.65.86.254,443,443,true,FRA,Europe,Frankfurt,250,5.21
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,250,5.20
34.65.40.201,443,443,true,FRA,Europe,Frankfurt,253,5.20
35.204.103.176,443,443,true,FRA,Europe,Frankfurt,262,5.20
34.65.52.186,443,443,true,FRA,Europe,Frankfurt,258,5.20
34.65.119.65,443,443,true,FRA,Europe,Frankfurt,253,5.20
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,267,5.20
